System_Time,LSL_Timestamp,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
17:23:22.899,37233.7189326,1.1467342631021893e-09,-534.9060668945312,-619.7158813476562,-229.4785614013672,-3.2875661849975586,-1280.099365234375,-1223.903076171875,-41.62998962402344
17:23:22.899,37233.7229326,-1.9287285102365104e-09,-528.1830444335938,-701.684814453125,-298.8981018066406,3.477379322052002,-1088.1087646484375,-1056.32568359375,-26.1292667388916
17:23:22.899,37233.7269326,-1.443647840160267e-10,-467.4904479980469,-550.8098754882812,-240.33462524414062,1.3750348091125488,-980.7434692382812,-1220.6959228515625,-8.749602317810059
17:23:22.899,37233.7309326,2.0422843416412206e-09,-375.5088195800781,-440.46063232421875,-146.8996124267578,-3.2366366386413574,-858.3383178710938,-1342.66064453125,6.44562292098999
17:23:22.899,37233.734932600004,1.1467342631021893e-09,-321.37799072265625,-453.6184387207031,-108.58707427978516,-2.876124620437622,-689.3274536132812,-1254.2744140625,43.99538803100586
17:23:22.899,37233.7369413,-1.9287285102365104e-09,-295.38714599609375,-525.0587768554688,-145.77871704101562,2.6827731132507324,-486.83673095703125,-1011.24755859375,83.56713104248047
17:23:22.899,37233.7409413,-1.443647840160267e-10,-168.84854125976562,-398.0203552246094,-47.51324462890625,1.6575555801391602,-257.881103515625,-961.0382080078125,59.20017623901367
17:23:22.899,37233.7449413,2.0422843416412206e-09,-65.0407485961914,-256.7010803222656,64.98164367675781,-1.8029617071151733,47.282386779785156,-844.9996948242188,49.97477722167969
17:23:22.899,37233.7489413,1.1467342631021893e-09,5.977768898010254,-175.1096954345703,139.16151428222656,-2.1515088081359863,382.6907653808594,-550.9169311523438,45.19712448120117
17:23:22.899,37233.7529413,-1.9287285102365104e-09,31.65981101989746,-155.265625,121.15113830566406,1.4512056112289429,624.2091064453125,-265.0712890625,59.39013671875
17:23:22.899,37233.7569413,2.0422843416412206e-09,90.61026763916016,-94.57233428955078,163.79248046875,0.3765503168106079,980.90478515625,-40.413848876953125,70.17369079589844
17:23:22.899,37233.7609413,1.1467342631021893e-09,111.02035522460938,-105.5909423828125,134.2812042236328,0.8231443762779236,1150.8336181640625,97.60856628417969,73.373046875
17:23:22.899,37233.7649413,-1.9287285102365104e-09,123.58466339111328,-11.794625282287598,142.62570190429688,-0.8414701819419861,1016.480224609375,-165.67025756835938,61.9236946105957
17:23:22.899,37233.768941300004,-1.443647840160267e-10,172.51446533203125,58.03989028930664,206.8097686767578,-1.3916326761245728,1215.755615234375,96.08654022216797,41.803077697753906
17:23:22.899,37233.772941300005,2.0422843416412206e-09,206.2110137939453,67.57073211669922,231.9274139404297,0.5136622786521912,1404.4210205078125,525.5831298828125,45.05453109741211
17:23:22.899,37233.7750151,1.1467342631021893e-09,220.75341796875,105.68693542480469,241.3730010986328,0.9741775393486023,1431.059326171875,693.6204833984375,69.11486053466797
17:23:22.899,37233.7790151,-1.9287285102365104e-09,228.24986267089844,227.8458251953125,283.342041015625,-0.6561850309371948,1217.6219482421875,462.6676940917969,75.12898254394531
17:23:22.899,37233.7830151,2.0422843416412206e-09,235.2099151611328,222.63656616210938,256.7046203613281,1.2531492710113525,1153.2208251953125,799.5361938476562,46.09750747680664
