System_Time,LSL_Timestamp,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
17:14:38.555,36752.9204614,1.1467342631021893e-09,5.078517913818359,1.1467343741244918e-09,1.1467343741244918e-09,-372.2951965332031,6.86285924911499,-349.71405029296875,-14.15292739868164
17:14:38.555,36752.9244614,-1.9287285102365104e-09,23.262285232543945,-1.9287282881919054e-09,-1.9287289543257202e-09,47.40403747558594,-33.23051834106445,164.14051818847656,-61.01335906982422
17:14:38.555,36752.9284614,-1.443647840160267e-10,14.984684944152832,-1.4436517259408532e-10,-1.4436488116054136e-10,27.750946044921875,-2.759185314178467,110.66371154785156,-51.48572540283203
17:14:38.555,36752.9324614,2.0422843416412206e-09,5.83206033706665,2.0422847857304305e-09,2.0422845636858256e-09,-188.1042938232422,28.60292625427246,-255.12646484375,-3.7724342346191406
17:14:38.555,36752.9364614,1.1467342631021893e-09,5.719268321990967,1.1467347071913991e-09,1.1467343741244918e-09,-184.58815002441406,43.298362731933594,-344.8300476074219,49.44190979003906
17:14:38.555,36752.9404614,-1.9287285102365104e-09,13.565400123596191,-1.9287289543257202e-09,-1.9287287322811153e-09,239.39573669433594,14.467040061950684,221.9713592529297,36.320343017578125
17:14:38.555,36752.9444614,2.0422843416412206e-09,15.111331939697266,2.0422850077750354e-09,2.0422843416412206e-09,139.74594116210938,15.208312034606934,-36.39480209350586,49.740108489990234
17:14:38.555,36752.9484614,1.1467342631021893e-09,23.861005783081055,1.1467344851467942e-09,1.1467341520798868e-09,323.3204650878906,-8.519523620605469,163.41046142578125,8.40445613861084
17:14:38.555,36752.952461400004,-1.9287285102365104e-09,7.915326118469238,-1.928729176370325e-09,-1.9287285102365104e-09,263.2480163574219,-6.991327285766602,203.60198974609375,-15.585474967956543
17:14:38.555,36752.956461400005,-1.443647840160267e-10,-0.557395339012146,-1.4436485340496574e-10,-1.4436456197142178e-10,180.44198608398438,20.488405227661133,17.211864471435547,53.08873748779297
17:14:38.581,36752.9469448,2.0422843416412206e-09,10.170764923095703,2.0422843416412206e-09,2.0422843416412206e-09,293.45672607421875,11.018796920776367,52.344783782958984,51.31081008911133
17:14:38.581,36752.9509448,1.1467342631021893e-09,14.760186195373535,1.1467342631021893e-09,1.1467341520798868e-09,444.48040771484375,-11.180776596069336,263.48382568359375,22.679533004760742
